Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Subperiods,Hours_per_period,Sub_Weights
,,,,95,1555.8620630000007,11344.94325,4255.002661,9250.778973179482,3775.8145723125294,6982.767204507995,0.0,,,
,,,,96,1416.77279,10603.230749,3965.990364,8815.412403326376,3598.114570667793,6654.139376005836,0.0,,,
,,,,97,1290.456537,9576.99954,3579.260152000001,8168.181312602421,3333.939565395853,6165.589812001732,0.0,,,
,,,,98,1205.5964479999998,8708.057334000001,3217.2266310000005,7473.708266831402,3050.482198842944,5641.38059432566,0.0,,,
,,,,99,1142.9025589999999,8133.099676000003,2990.9511560000005,7004.447817298519,2858.948010349928,5287.168642351558,0.0,,,
,,,,100,1117.786015,7836.610760000001,2891.17945,6735.025713684575,2748.9802003008476,5083.800706014582,0.0,,,
,,,,101,1114.179464,7686.792016999999,2842.8449010000004,6592.869805340461,2690.957589251311,4976.497135408232,0.0,,,
,,,,102,1115.3655,7682.1902100000025,2856.215431,6536.564996542922,2667.97611729469,4933.996566162393,0.0,,,
,,,,103,1163.548082,7918.054412,2961.122982,6630.05179706959,2706.1338578234468,5004.563225106967,0.0,,,
,,,,104,1282.131414,8715.640227000002,3269.677239,7024.634179686895,2867.1873123037403,5302.405918009373,0.0,,,
,,,,105,1490.4083769999993,10086.244778,3826.116581,7893.366946744847,3221.770839897787,5958.151633357368,0.0,,,
,,,,106,1542.667325,10762.816467,4088.384103,8565.7272938147,3496.2026476052088,6465.6695185801,0.0,,,
,,,,107,1540.3946429999999,10783.000534,4079.130018,8744.433370001805,3569.1436408539257,6600.562259144276,0.0,,,
,,,,108,1511.9175040000002,10744.163047,4041.0759869999997,8792.949652472373,3588.946133906449,6637.183813621185,0.0,,,
,,,,109,1480.386632,10702.743827,4027.6979100000003,8826.93867351267,3602.8191538234387,6662.839752663896,0.0,,,
,,,,110,1453.791509,10600.341726,3968.047606,8768.894283602207,3579.127651313181,6619.026095084621,0.0,,,
,,,,111,1428.9996580000006,10446.553721,3881.646288,8671.922047132492,3539.547288985462,6545.8285238820545,0.0,,,
,,,,112,1419.211777,10328.418146,3837.4238579999997,8603.707175695077,3511.7045844555437,6494.337879849383,0.0,,,
,,,,113,1402.9635779999999,10173.123624,3769.5415840000014,8502.593749580254,3470.4339467192303,6418.014413700524,0.0,,,
,,,,114,1411.213742,10140.022621,3742.797315,8448.231953070406,3448.245538150171,6376.980488779429,0.0,,,
